Company Name,Company Type,Registered,Address,City,State,Country,NACE
WTS AERO LIMITED,Ltd - Private Company Limited By Shares,09/01/2018,"1st Floor 61 Saint Assam'S Park, Raheny ,Dublin 5, ",Dublin,Leinster,Ireland,[5223] Service Activities Incidental To Air Transportation
ZF IRELAND AIRCRAFT 63 LIMITED,Ltd - Private Company Limited By Shares,09/01/2018,"2nd Floor, 1-2 Victoria Buildings,, Haddington Road, ,Dublin 4, ",Dublin,Leinster,Ireland,[7735] Renting And Leasing Of Air Transport Equipment
ZF IRELAND AIRCRAFT 64 LIMITED,Ltd - Private Company Limited By Shares,09/01/2018,"2nd Floor, 1-2 Victoria Buildings,, Haddington Road, ,Dublin 4, ",Dublin,Leinster,Ireland,[7735] Renting And Leasing Of Air Transport Equipment
ZF IRELAND AIRCRAFT 65 LIMITED,Ltd - Private Company Limited By Shares,09/01/2018,"2nd Floor, 1-2 Victoria Buildings,, Haddington Road, ,Dublin 4, ",Dublin,Leinster,Ireland,[7735] Renting And Leasing Of Air Transport Equipment
AHBS HOLDINGS LIMITED,Ltd - Private Company Limited By Shares,09/01/2018,"41 Mary Street, Dublin 1",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
ZF IRELAND AIRCRAFT 62 LIMITED,Ltd - Private Company Limited By Shares,09/01/2018,"2nd Floor, 1-2 Victoria Buildings,, Haddington Road, ,Dublin 4, ",Dublin,Leinster,Ireland,[7735] Renting And Leasing Of Air Transport Equipment
ZF IRELAND AIRCRAFT 67 LIMITED,Ltd - Private Company Limited By Shares,09/01/2018,"2nd Floor, 1-2 Victoria Buildings,, Haddington Road, ,Dublin 4, ",Dublin,Leinster,Ireland,[7735] Renting And Leasing Of Air Transport Equipment
ZF IRELAND AIRCRAFT 68 LIMITED,Ltd - Private Company Limited By Shares,09/01/2018,"2nd Floor, 1-2 Victoria Buildings,, Haddington Road, ,Dublin 4, ",Dublin,Leinster,Ireland,[7735] Renting And Leasing Of Air Transport Equipment
ZF IRELAND AIRCRAFT 69 LIMITED,Ltd - Private Company Limited By Shares,09/01/2018,"2nd Floor, 1-2 Victoria Buildings,, Haddington Road, ,Dublin 4, ",Dublin,Leinster,Ireland,[7735] Renting And Leasing Of Air Transport Equipment
ZF IRELAND AIRCRAFT 70 LIMITED,Ltd - Private Company Limited By Shares,09/01/2018,"2nd Floor, 1-2 Victoria Buildings,, Haddington Road, ,Dublin 4, ",Dublin,Leinster,Ireland,[7735] Renting And Leasing Of Air Transport Equipment
THOMAS BENNETT LIMITED,Ltd - Private Company Limited By Shares,09/01/2018,"88 Church View Road, Killiney, Co. Dublin ",Dublin,Leinster,Ireland,[6202] Computer Consultancy Activities
ROBOCOP PATENT COMPANY LIMITED,Ltd - Private Company Limited By Shares,09/01/2018,"The Black Church, St. Mary'S Place ,Dublin D07 P4ax, ",Dublin,Leinster,Ireland,[6202] Computer Consultancy Activities
HIBERNIAN UROLOGY LIMITED,Ltd - Private Company Limited By Shares,09/01/2018,"23 Brennanstown Vale, Carrickmines ,Dublin 18, ",Dublin,Leinster,Ireland,[8621] General Medical Practice Activities
STORMBORN DEVCO LIMITED,Ltd - Private Company Limited By Shares,09/01/2018,"11 The Plaza, Tyrellstown Town Centre ,Dublin 15, ",Dublin,Leinster,Ireland,[4110] Development Of Building Projects
RAYMOND MCGINLEY ARCHITECTS LIMITED,Ltd - Private Company Limited By Shares,09/01/2018,"43 Sycamore Avenue, Castleknock ,Dublin 15, ",Dublin,Leinster,Ireland,[7111] Architectural Activities
SOCIAL TECHNOLOGY LIMITED,Ltd - Private Company Limited By Shares,09/01/2018,"Office 29, Clifton House ,Fitzwilliam Street Lower,Dublin 2",Dublin,Leinster,Ireland,"[6311] Data Processing, Hosting And Related Activities"
TRICADIA CAPITAL DESIGNATED ACTIVITY COMPANY,Dac - Designated Activity Company (Limited By Shares),09/01/2018,"88 Harcourt Street, Dublin 2",Dublin,Leinster,Ireland,[6630] Fund Management Activities
RESUME ASSIST LIMITED,Ltd - Private Company Limited By Shares,09/01/2018,"The Black Church, St. Mary'S Place ,Dublin D07 P4ax, ",Dublin,Leinster,Ireland,[8299] Other Business Support Service Activities N.E.C.
URBAN STORAGE & LOGISTICS LIMITED,Ltd - Private Company Limited By Shares,09/01/2018,"The Black Church, St. Mary'S Place ,Dublin D07 P4ax, ",Dublin,Leinster,Ireland,[4634] Wholesale Of Beverages
ZF IRELAND AIRCRAFT 66 LIMITED,Ltd - Private Company Limited By Shares,09/01/2018,"2nd Floor, 1-2 Victoria Buildings,, Haddington Road, ,Dublin 4, ",Dublin,Leinster,Ireland,[7735] Renting And Leasing Of Air Transport Equipment
ZF IRELAND AIRCRAFT 71 LIMITED,Ltd - Private Company Limited By Shares,09/01/2018,"2nd Floor, 1-2 Victoria Buildings,, Haddington Road, ,Dublin 4, ",Dublin,Leinster,Ireland,[7735] Renting And Leasing Of Air Transport Equipment
